,bathrooms,bedrooms,borough,city,leaseLength,postal_code,rating,rent,rental_title,sqft,state,street_address,pet_cat,pet_dog,built_year,property_size,amenity_air conditioning,amenity_alcove,amenity_balcony,amenity_basketball,amenity_bike storage,amenity_business,amenity_cable,amenity_ceiling fans,amenity_charging station,amenity_clubhouse,amenity_concierge,amenity_controlled,amenity_courtyard,amenity_dishwasher,amenity_disposal,amenity_dry cleaning,amenity_elevator,amenity_fitness,amenity_furnished,amenity_game,amenity_gated,amenity_granite,amenity_grill,amenity_hardwood,amenity_heat/hot water included,amenity_heating,amenity_high ceilings,amenity_internet,amenity_laundary facilities,amenity_laundry service,amenity_library,amenity_lounge,amenity_maid,amenity_maintenance,amenity_manager,amenity_microwave,amenity_movie,amenity_online service,amenity_oven,amenity_package,amenity_parking available,amenity_parking garage,amenity_parking security,amenity_patio,amenity_pet care,amenity_pet play area,amenity_picnic,amenity_planned social activities,amenity_playground,amenity_pool,amenity_private outdoor space,amenity_recycling,amenity_refrigerator,amenity_renovated,amenity_retail,amenity_rooftop,amenity_smoke free,amenity_spa,amenity_stainless,amenity_storage space,amenity_stove,amenity_sundeck,amenity_terrace,amenity_tub,amenity_views,amenity_walk-in closets,amenity_washer/dryer,amenity_wheelchair,amenity_wifi,amenity_yoga studio,full_address,longitude,latitude
0,1,0,Manhattan,new york,13,10025.0,5,3507.5,Avalon Morningside Park,542.0,NY,1 Morningside Dr,1,1,2009,295,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,"1 Morningside Dr, new york, NY",-73.9615998,40.8024385
1,1,1,Manhattan,new york,13,10025.0,5,3715.0,Avalon Morningside Park,746.0,NY,1 Morningside Dr,1,1,2009,295,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,"1 Morningside Dr, new york, NY",-73.9615998,40.8024385
4,2,2,Manhattan,new york,13,10025.0,5,5840.0,Avalon Morningside Park,1061.0,NY,1 Morningside Dr,1,1,2009,295,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,"1 Morningside Dr, new york, NY",-73.9615998,40.8024385
72,1,0,Manhattan,new york,13,10019.0,5,3350.5,Avalon Midtown West,559.0,NY,250 W 50th St,1,1,1998,550,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,"250 W 50th St, new york, NY",-73.9858466,40.7618477
73,1,1,Manhattan,new york,13,10019.0,5,3442.5,Avalon Midtown West,666.0,NY,250 W 50th St,1,1,1998,550,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,"250 W 50th St, new york, NY",-73.9858466,40.7618477
87,2,2,Manhattan,new york,13,10019.0,5,5316.0,Avalon Midtown West,953.0,NY,250 W 50th St,1,1,1998,550,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,"250 W 50th St, new york, NY",-73.9858466,40.7618477
130,1,0,Manhattan,new york,13,10019.0,5,2622.5,Avalon Clinton North,398.0,NY,515 W 52nd St,1,1,2007,627,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,"515 W 52nd St, new york, NY",-73.99162749999999,40.7665134
140,1,1,Manhattan,new york,13,10019.0,5,3049.0,Avalon Clinton North,585.0,NY,515 W 52nd St,1,1,2007,627,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,"515 W 52nd St, new york, NY",-73.99162749999999,40.7665134
156,2,2,Manhattan,new york,13,10019.0,5,5637.0,Avalon Clinton North,971.0,NY,515 W 52nd St,1,1,2007,627,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,"515 W 52nd St, new york, NY",-73.99162749999999,40.7665134
242,1,0,Manhattan,new york,24,10001.0,5,3608.5,The Eugene,502.0,NY,435 W 31st St,1,1,2017,844,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,"435 W 31st St, new york, NY",-73.99891819999999,40.7522644
